trip_id,season,daylight,duration_min,outside_temp_c,capacity,passenger_count,occupancy_pct,lighting_kWh_fixed,vent_kWh_fixed,hvac_kWh_fixed,total_aux_kWh_fixed,lighting_kWh_sensor,vent_kWh_sensor,hvac_kWh_sensor,total_aux_kWh_sensor,pct_savings
T01409,summer,1,29,27.69,200,85,42.5,1.692,1.45,0.759,3.9,1.015,1.196,1.288,3.5,10.27
T01410,summer,1,10,26.58,200,105,52.5,0.583,0.5,0.238,1.321,0.417,0.462,0.484,1.363,-3.2
T01411,winter,0,44,0.54,200,16,8.0,4.4,2.2,2.71,9.31,1.115,1.056,2.262,4.433,52.38
T01412,autumn,1,30,14.12,200,57,28.5,1.75,1.5,0.797,4.047,0.77,1.027,1.092,2.889,28.62
T01413,winter,0,38,-3.95,200,41,20.5,3.8,1.9,2.748,8.448,1.279,1.149,2.582,5.011,40.68
T01414,spring,0,23,18.67,200,0,0.0,2.3,1.15,0.384,3.834,0.46,0.46,0.252,1.172,69.45
T01415,spring,0,53,11.51,200,2,1.0,5.3,2.65,1.708,9.658,1.095,1.087,1.307,3.489,63.87
T01416,winter,0,38,6.94,200,50,25.0,3.8,1.9,1.601,7.301,1.393,1.235,1.803,4.431,39.31
T01417,spring,1,43,10.38,200,100,50.0,2.508,2.15,1.491,6.15,1.72,1.935,2.414,6.069,1.31
T01418,spring,1,43,15.71,200,59,29.5,2.508,2.15,0.995,5.653,1.132,1.494,1.465,4.092,27.62
T01419,winter,0,15,5.42,200,12,6.0,1.5,0.75,0.682,2.932,0.36,0.345,0.583,1.288,56.08
T01420,spring,0,35,10.78,200,57,28.5,3.5,1.75,1.184,6.434,1.365,1.199,1.488,4.052,37.02
T01421,spring,1,46,16.92,200,116,58.0,2.683,2.3,0.943,5.926,2.085,2.254,2.251,6.591,-11.21
T01422,autumn,1,53,9.9,200,87,43.5,3.092,2.65,1.893,7.634,1.89,2.213,2.815,6.918,9.38
T01423,summer,1,27,27.45,200,131,65.5,1.575,1.35,0.692,3.617,1.359,1.424,1.56,4.343,-20.08
T01424,winter,0,17,4.98,200,0,0.0,1.7,0.85,0.788,3.338,0.34,0.34,0.613,1.293,61.28
T01425,autumn,0,60,13.59,200,7,3.5,6.0,3.0,1.663,10.663,1.34,1.305,1.341,3.986,62.62
T01426,winter,1,10,2.01,200,141,70.5,0.583,0.5,0.581,1.664,0.537,0.552,0.88,1.969,-18.3
T01427,summer,1,14,27.97,200,27,13.5,0.817,0.7,0.375,1.892,0.28,0.374,0.386,1.04,45.01
T01428,spring,1,39,8.86,200,21,10.5,2.275,1.95,1.481,5.706,0.78,0.985,1.374,3.138,45.0
T01429,autumn,1,22,5.09,200,96,48.0,1.283,1.1,1.015,3.399,0.851,0.968,1.422,3.241,4.64
T01430,summer,1,41,22.39,200,50,25.0,2.392,2.05,0.602,5.043,0.957,1.333,0.993,3.282,34.93
T01431,winter,0,10,0.4,200,43,21.5,1.0,0.5,0.619,2.119,0.343,0.307,0.602,1.253,40.89
T01432,summer,1,19,18.56,200,151,75.5,1.108,0.95,0.322,2.38,1.083,1.097,1.072,3.253,-36.64
T01433,summer,1,35,15.72,200,22,11.0,2.042,1.75,0.808,4.6,0.7,0.892,0.803,2.395,47.93
T01434,autumn,1,53,10.89,200,127,63.5,3.092,2.65,1.779,7.521,2.597,2.743,3.355,8.695,-15.61
T01435,spring,0,40,7.99,200,35,17.5,4.0,2.0,1.594,7.594,1.267,1.15,1.641,4.057,46.57
T01436,autumn,0,25,5.08,200,39,19.5,2.5,1.25,1.154,4.904,0.825,0.744,1.189,2.758,43.77
T01437,autumn,0,35,8.53,200,20,10.0,3.5,1.75,1.354,6.604,0.933,0.875,1.244,3.052,53.79
T01438,spring,0,23,8.94,200,19,9.5,2.3,1.15,0.869,4.319,0.606,0.569,0.793,1.968,54.44
T01439,autumn,0,33,8.81,200,58,29.0,3.3,1.65,1.257,6.207,1.298,1.139,1.532,3.968,36.07
T01440,autumn,0,29,15.8,200,30,15.0,2.9,1.45,0.665,5.015,0.87,0.797,0.731,2.398,52.18
T01441,summer,0,42,32.36,200,52,26.0,4.2,2.1,1.676,7.976,1.568,1.386,1.9,4.854,39.14
T01442,autumn,0,36,6.37,200,43,21.5,3.6,1.8,1.561,6.961,1.236,1.107,1.67,4.013,42.35
T01443,summer,1,34,20.34,200,53,26.5,1.983,1.7,0.445,4.129,0.827,1.13,0.808,2.766,33.0
T01444,spring,1,49,10.35,200,156,78.0,2.858,2.45,1.703,7.011,2.875,2.891,3.577,9.343,-33.25
T01445,summer,1,30,18.22,200,129,64.5,1.75,1.5,0.531,3.781,1.49,1.567,1.514,4.571,-20.91
T01446,winter,1,28,-1.75,200,82,41.0,1.633,1.4,1.878,4.911,0.952,1.134,2.146,4.232,13.83
T01447,summer,0,29,26.98,200,4,2.0,2.9,1.45,0.714,5.064,0.619,0.609,0.546,1.774,64.98
T01448,spring,1,41,7.93,200,59,29.5,2.392,2.05,1.64,6.081,1.08,1.425,1.982,4.486,26.23
T01449,summer,1,31,24.83,200,147,73.5,1.808,1.55,0.619,3.977,1.726,1.759,1.792,5.277,-32.66
T01450,spring,1,26,14.04,200,183,91.5,1.517,1.3,0.696,3.512,1.759,1.71,1.933,5.401,-53.79
T01451,autumn,0,47,15.58,200,137,68.5,4.7,2.35,1.1,8.15,3.086,2.55,2.712,8.348,-2.43
T01452,spring,1,44,20.69,200,52,26.0,2.567,2.2,0.543,5.309,1.056,1.452,1.005,3.513,33.84
T01453,summer,1,32,29.52,200,117,58.5,1.867,1.6,1.06,4.527,1.461,1.576,1.928,4.965,-9.68
T01454,winter,0,31,5.77,200,1,0.5,3.1,1.55,1.385,6.035,0.63,0.628,1.082,2.34,61.23
T01455,winter,0,36,6.2,200,65,32.5,3.6,1.8,1.574,6.974,1.5,1.305,1.919,4.724,32.27
T01456,autumn,0,30,20.46,200,118,59.0,3.0,1.5,0.385,4.885,1.78,1.485,1.292,4.557,6.72
T01457,winter,0,47,5.95,200,38,19.0,4.7,2.35,2.08,9.13,1.535,1.387,2.146,5.067,44.5
T01458,winter,0,33,1.77,200,107,53.5,3.3,1.65,1.936,6.886,1.837,1.543,2.565,5.945,13.67
T01459,autumn,1,54,8.09,200,72,36.0,3.15,2.7,2.14,7.99,1.656,2.052,2.804,6.512,18.5
T01460,autumn,1,51,5.76,200,169,84.5,2.975,2.55,2.279,7.804,3.213,3.175,4.351,10.739,-37.6
T01461,autumn,1,43,1.34,200,75,37.5,2.508,2.15,2.567,7.225,1.362,1.666,2.944,5.972,17.34
T01462,spring,0,36,11.91,200,14,7.0,3.6,1.8,1.129,6.529,0.888,0.846,0.991,2.725,58.26
T01463,spring,0,28,9.33,200,0,0.0,2.8,1.4,1.035,5.235,0.56,0.56,0.786,1.906,63.59
T01464,autumn,1,59,8.36,200,103,51.5,3.442,2.95,2.305,8.696,2.419,2.699,3.584,8.702,-0.07
T01465,autumn,0,39,10.72,200,68,34.0,3.9,1.95,1.324,7.174,1.664,1.443,1.791,4.898,31.73
T01466,summer,1,48,22.67,200,110,55.0,2.8,2.4,0.733,5.933,2.08,2.28,2.051,6.411,-8.04
T01467,winter,0,39,6.17,200,18,9.0,3.9,1.95,1.709,7.559,1.014,0.956,1.531,3.501,53.68
T01468,summer,1,38,20.95,200,101,50.5,2.217,1.9,0.448,4.564,1.533,1.719,1.408,4.66,-2.11
T01469,summer,1,32,20.93,200,105,52.5,1.867,1.6,0.378,3.845,1.333,1.48,1.225,4.039,-5.04
T01470,summer,1,28,26.55,200,182,91.0,1.633,1.4,0.663,3.697,1.885,1.834,2.0,5.72,-54.73
T01471,winter,0,26,8.52,200,24,12.0,2.6,1.3,1.006,4.906,0.728,0.676,0.956,2.36,51.91
T01472,spring,1,33,14.38,200,98,49.0,1.925,1.65,0.859,4.434,1.298,1.469,1.591,4.357,1.72
T01473,winter,0,31,3.92,200,29,14.5,3.1,1.55,1.509,6.159,0.92,0.845,1.447,3.212,47.86
T01474,spring,0,31,5.27,200,57,28.5,3.1,1.55,1.418,6.068,1.209,1.062,1.631,3.902,35.7
T01475,autumn,0,44,9.5,200,48,24.0,4.4,2.2,1.61,8.21,1.584,1.408,1.855,4.847,40.96
T01476,spring,1,42,7.44,200,116,58.0,2.45,2.1,1.724,6.274,1.904,2.058,2.785,6.747,-7.55
T01477,autumn,0,34,23.05,200,84,42.0,3.4,1.7,0.548,5.648,1.632,1.394,1.211,4.237,24.97
T01478,spring,0,34,7.21,200,26,13.0,3.4,1.7,1.413,6.513,0.975,0.901,1.352,3.227,50.45
T01479,spring,1,46,16.56,200,149,74.5,2.683,2.3,0.979,5.963,2.591,2.633,2.737,7.962,-33.53
T01480,autumn,0,36,12.55,200,41,20.5,3.6,1.8,1.079,6.479,1.212,1.089,1.241,3.542,45.34
T01481,summer,1,19,27.84,200,149,74.5,1.108,0.95,0.503,2.562,1.07,1.088,1.214,3.372,-31.65
T01482,summer,1,18,30.6,200,23,11.5,1.05,0.9,0.643,2.593,0.36,0.463,0.589,1.413,45.52
T01483,autumn,0,42,13.83,200,54,27.0,4.2,2.1,1.143,7.443,1.596,1.407,1.513,4.516,39.33
T01484,spring,1,36,2.16,200,95,47.5,2.1,1.8,2.078,5.978,1.38,1.575,2.635,5.59,6.5
T01485,summer,1,22,20.91,200,105,52.5,1.283,1.1,0.261,2.644,0.917,1.017,0.843,2.778,-5.04
T01486,winter,1,11,4.04,200,98,49.0,0.642,0.55,0.533,1.724,0.433,0.489,0.739,1.661,3.67
T01487,summer,1,35,17.36,200,112,56.0,2.042,1.75,0.684,4.476,1.54,1.68,1.643,4.863,-8.64
T01488,summer,1,37,27.11,200,19,9.5,2.158,1.85,0.922,4.93,0.74,0.916,0.872,2.528,48.72
T01489,winter,0,39,10.22,200,17,8.5,3.9,1.95,1.366,7.216,1.001,0.946,1.23,3.177,55.98
T01490,summer,1,38,19.06,200,136,68.0,2.217,1.9,0.603,4.72,1.976,2.052,1.939,5.967,-26.42
T01491,spring,0,35,17.2,200,23,11.5,3.5,1.75,0.697,5.947,0.968,0.901,0.719,2.588,56.47
T01492,spring,0,17,12.47,200,52,26.0,1.7,0.85,0.512,3.062,0.635,0.561,0.644,1.84,39.92
T01493,summer,1,28,19.12,200,86,43.0,1.633,1.4,0.441,3.474,0.989,1.162,1.006,3.157,9.13
T01494,summer,0,20,28.61,200,11,5.5,2.0,1.0,0.619,3.619,0.473,0.455,0.502,1.431,60.47
T01495,summer,1,39,18.14,200,146,73.0,2.275,1.95,0.696,4.921,2.158,2.204,2.173,6.534,-32.77
T01496,winter,0,35,4.34,200,20,10.0,3.5,1.75,1.672,6.922,0.933,0.875,1.513,3.321,52.02
T01497,winter,1,27,8.46,200,142,71.0,1.575,1.35,1.049,3.974,1.458,1.499,1.951,4.908,-23.5
T01498,autumn,1,60,1.19,200,112,56.0,3.5,3.0,3.602,10.102,2.64,2.88,4.824,10.344,-2.4
T01499,summer,1,32,42.82,200,153,76.5,1.867,1.6,2.074,5.541,1.845,1.864,3.11,6.819,-23.07
T01500,summer,1,50,21.76,200,106,53.0,2.917,2.5,0.666,6.082,2.1,2.325,1.993,6.418,-5.52
T01501,winter,0,37,6.95,200,0,0.0,3.7,1.85,1.558,7.108,0.74,0.74,1.2,2.68,62.3
T01502,winter,0,38,7.11,200,11,5.5,3.8,1.9,1.587,7.287,0.899,0.864,1.346,3.11,57.32
T01503,winter,0,33,7.7,200,143,71.5,3.3,1.65,1.336,6.286,2.233,1.84,2.44,6.513,-3.61
T01504,autumn,0,18,6.72,200,36,18.0,1.8,0.9,0.767,3.467,0.576,0.522,0.786,1.884,45.67
T01505,winter,1,26,1.72,200,111,55.5,1.517,1.3,1.528,4.345,1.135,1.242,2.056,4.433,-2.02
T01506,spring,1,24,8.58,200,91,45.5,1.4,1.2,0.926,3.526,0.888,1.026,1.362,3.276,7.1
T01507,spring,1,34,10.72,200,122,61.0,1.983,1.7,1.154,4.838,1.609,1.717,2.112,5.438,-12.42
T01508,summer,1,10,30.48,200,7,3.5,0.583,0.5,0.354,1.438,0.2,0.217,0.275,0.692,51.86
T01509,summer,0,34,18.46,200,19,9.5,3.4,1.7,0.584,5.684,0.895,0.841,0.579,2.316,59.26
T01510,winter,1,44,2.54,200,159,79.5,2.567,2.2,2.501,7.268,2.625,2.629,4.076,9.33,-28.38
T01511,winter,1,36,7.37,200,114,57.0,2.1,1.8,1.483,5.383,1.608,1.746,2.371,5.725,-6.35
T01512,summer,0,37,24.32,200,13,6.5,3.7,1.85,0.698,6.248,0.9,0.86,0.616,2.377,61.96
T01513,summer,0,43,24.88,200,53,26.5,4.3,2.15,0.863,7.313,1.62,1.43,1.276,4.326,40.85
T01514,autumn,0,59,10.8,200,4,2.0,5.9,2.95,1.992,10.842,1.259,1.239,1.567,4.065,62.51
T01515,summer,1,40,17.74,200,72,36.0,2.333,2.0,0.749,5.083,1.227,1.52,1.37,4.116,19.01
T01516,autumn,1,17,10.96,200,78,39.0,0.992,0.85,0.568,2.41,0.555,0.671,0.824,2.051,14.89
T01517,winter,1,50,2.19,200,61,30.5,2.917,2.5,2.883,8.3,1.35,1.762,3.121,6.234,24.89
T01518,spring,1,42,3.26,200,164,82.0,2.45,2.1,2.104,6.654,2.576,2.562,3.712,8.85,-33.0
T01519,summer,1,37,25.18,200,72,36.0,2.158,1.85,0.767,4.775,1.135,1.406,1.33,3.87,18.95
T01520,autumn,1,26,10.49,200,85,42.5,1.517,1.3,0.895,3.712,0.91,1.072,1.337,3.32,10.57
T01521,winter,0,16,5.17,200,135,67.5,1.6,0.8,0.735,3.135,1.04,0.86,1.219,3.119,0.52
T01522,winter,0,44,12.56,200,55,27.5,4.4,2.2,1.318,7.918,1.687,1.485,1.7,4.872,38.47
T01523,summer,1,37,23.57,200,17,8.5,2.158,1.85,0.638,4.646,0.74,0.897,0.61,2.247,51.64
T01524,summer,1,51,26.53,200,21,10.5,2.975,2.55,1.207,6.732,1.02,1.288,1.179,3.487,48.21
T01525,autumn,0,41,21.09,200,8,4.0,4.1,2.05,0.487,6.637,0.929,0.902,0.379,2.21,66.7
T01526,summer,1,30,20.09,200,102,51.0,1.75,1.5,0.409,3.659,1.22,1.365,1.168,3.753,-2.57
T01527,winter,1,37,-0.76,200,97,48.5,2.158,1.85,2.394,6.402,1.443,1.637,2.939,6.02,5.97
T01528,summer,0,38,26.42,200,19,9.5,3.8,1.9,0.889,6.589,1.001,0.94,0.847,2.788,57.68
T01529,spring,1,28,6.33,200,88,44.0,1.633,1.4,1.217,4.25,1.008,1.176,1.679,3.863,9.11
T01530,summer,0,22,29.07,200,43,21.5,2.2,1.1,0.705,4.005,0.755,0.676,0.794,2.225,44.44
T01531,winter,0,34,7.37,200,42,21.0,3.4,1.7,1.4,6.5,1.156,1.037,1.504,3.697,43.12
T01532,spring,1,18,16.93,200,31,15.5,1.05,0.9,0.369,2.319,0.36,0.499,0.422,1.281,44.74
T01533,autumn,1,52,5.85,200,126,63.0,3.033,2.6,2.313,7.946,2.531,2.678,3.756,8.965,-12.82
T01534,spring,1,43,18.47,200,40,20.0,2.508,2.15,0.738,5.396,0.86,1.29,1.002,3.152,41.58
T01535,winter,0,31,5.03,200,8,4.0,3.1,1.55,1.434,6.084,0.703,0.682,1.189,2.573,57.71
T01536,summer,0,42,28.01,200,18,9.0,4.2,2.1,1.241,7.541,1.092,1.029,1.099,3.22,57.3
T01537,summer,0,47,25.61,200,8,4.0,4.7,2.35,1.018,8.068,1.065,1.034,0.823,2.922,63.77
T01538,autumn,0,37,7.08,200,60,30.0,3.7,1.85,1.547,7.097,1.48,1.295,1.857,4.632,34.74
T01539,summer,1,22,19.35,200,61,30.5,1.283,1.1,0.335,2.719,0.594,0.775,0.616,1.985,26.97
T01540,summer,0,31,22.4,200,35,17.5,3.1,1.55,0.456,5.106,0.982,0.891,0.612,2.485,51.33
T01541,spring,1,32,6.84,200,138,69.0,1.867,1.6,1.355,4.822,1.685,1.744,2.369,5.798,-20.25
T01542,autumn,1,28,12.07,200,124,62.0,1.633,1.4,0.868,3.902,1.344,1.428,1.687,4.459,-14.27
T01543,autumn,0,25,10.71,200,47,23.5,2.5,1.25,0.849,4.599,0.892,0.794,0.991,2.676,41.81
T01544,summer,0,45,28.08,200,22,11.0,4.5,2.25,1.337,8.087,1.23,1.147,1.24,3.617,55.27
T01545,winter,0,20,4.64,200,0,0.0,2.0,1.0,0.942,3.942,0.4,0.4,0.733,1.533,61.11
T01546,spring,0,26,5.91,200,40,20.0,2.6,1.3,1.153,5.053,0.867,0.78,1.205,2.851,43.58
T01547,autumn,1,31,8.22,200,137,68.5,1.808,1.55,1.22,4.579,1.622,1.682,2.207,5.511,-20.37
T01548,summer,0,44,21.41,200,33,16.5,4.4,2.2,0.552,7.152,1.364,1.243,0.762,3.369,52.9
T01549,autumn,0,30,10.33,200,17,8.5,3.0,1.5,1.044,5.544,0.77,0.728,0.94,2.437,56.03
T01550,summer,0,52,23.19,200,26,13.0,5.2,2.6,0.853,8.653,1.491,1.378,0.961,3.829,55.75
T01551,summer,0,53,26.57,200,43,21.5,5.3,2.65,1.258,9.208,1.82,1.63,1.579,5.028,45.4
T01552,autumn,1,32,12.87,200,143,71.5,1.867,1.6,0.937,4.403,1.739,1.784,2.063,5.586,-26.85
T01553,spring,0,40,13.38,200,0,0.0,4.0,2.0,1.127,7.127,0.8,0.8,0.826,2.426,65.97
T01554,summer,1,49,20.68,200,97,48.5,2.858,2.45,0.606,5.914,1.911,2.168,1.781,5.861,0.9
T01555,winter,0,21,-0.04,200,23,11.5,2.1,1.05,1.322,4.472,0.581,0.541,1.149,2.271,49.22
T01556,autumn,1,27,5.66,200,104,52.0,1.575,1.35,1.213,4.138,1.116,1.242,1.782,4.14,-0.06
T01557,summer,1,19,16.03,200,78,39.0,1.108,0.95,0.426,2.485,0.621,0.75,0.744,2.116,14.85
T01558,winter,0,38,9.13,200,0,0.0,3.8,1.9,1.42,7.12,0.76,0.76,1.08,2.6,63.48
T01559,winter,0,44,6.75,200,21,10.5,4.4,2.2,1.872,8.472,1.188,1.111,1.72,4.019,52.56
T01560,summer,1,45,28.5,200,182,91.0,2.625,2.25,1.382,6.257,3.03,2.947,3.545,9.522,-52.18
T01561,winter,0,20,2.75,200,112,56.0,2.0,1.0,1.127,4.127,1.147,0.96,1.548,3.655,11.43
T01562,autumn,1,24,9.19,200,87,43.5,1.4,1.2,0.894,3.494,0.856,1.002,1.306,3.164,9.45
T01563,summer,1,33,23.84,200,196,98.0,1.925,1.65,0.588,4.163,2.376,2.277,2.332,6.985,-67.78
T01564,winter,1,36,4.81,200,91,45.5,2.1,1.8,1.683,5.583,1.332,1.539,2.292,5.163,7.53
T01565,spring,1,48,19.55,200,184,92.0,2.8,2.4,0.711,5.911,3.264,3.168,3.097,9.529,-61.22
T01566,spring,1,15,9.71,200,94,47.0,0.875,0.75,0.542,2.167,0.57,0.652,0.833,2.056,5.12
T01567,autumn,0,31,19.3,200,16,8.0,3.1,1.55,0.476,5.126,0.785,0.744,0.452,1.981,61.35
T01568,autumn,1,45,5.34,200,149,74.5,2.625,2.25,2.052,6.927,2.535,2.576,3.603,8.715,-25.81
T01569,spring,1,12,4.18,200,103,51.5,0.7,0.6,0.577,1.877,0.492,0.549,0.821,1.862,0.82
T01570,winter,1,37,0.72,200,77,38.5,2.158,1.85,2.263,6.272,1.196,1.452,2.601,5.25,16.3
T01571,spring,0,15,14.01,200,32,16.0,1.5,0.75,0.402,2.652,0.46,0.42,0.436,1.316,50.37
T01572,autumn,0,33,15.1,200,65,32.5,3.3,1.65,0.807,5.757,1.375,1.196,1.22,3.792,34.14
T01573,winter,0,59,5.14,200,196,98.0,5.9,2.95,2.715,11.565,5.035,4.071,5.578,14.683,-26.96
T01574,winter,0,51,4.84,200,0,0.0,5.1,2.55,2.38,10.03,1.02,1.02,1.851,3.891,61.21
T01575,spring,1,48,17.73,200,87,43.5,2.8,2.4,0.9,6.1,1.712,2.004,1.86,5.576,8.58
T01576,winter,0,29,4.75,200,37,18.5,2.9,1.45,1.36,5.71,0.938,0.848,1.379,3.165,44.56
T01577,summer,1,44,25.45,200,74,37.0,2.567,2.2,0.937,5.704,1.379,1.694,1.629,4.702,17.57
T01578,winter,0,21,2.66,200,87,43.5,2.1,1.05,1.188,4.338,1.029,0.877,1.464,3.37,22.31
T01579,winter,0,22,0.77,200,24,12.0,2.2,1.1,1.343,4.643,0.616,0.572,1.177,2.365,49.06
T01580,winter,0,30,3.48,200,47,23.5,3.0,1.5,1.489,5.989,1.07,0.952,1.587,3.609,39.74
T01581,winter,0,45,0.91,200,33,16.5,4.5,2.25,2.732,9.482,1.395,1.271,2.523,5.189,45.27
T01582,autumn,0,46,15.86,200,8,4.0,4.6,2.3,1.049,7.949,1.043,1.012,0.851,2.905,63.45
T01583,spring,1,48,12.86,200,12,6.0,2.8,2.4,1.406,6.606,0.96,1.104,1.209,3.273,50.46
T01584,summer,1,31,23.74,200,64,32.0,1.808,1.55,0.545,3.904,0.868,1.116,0.957,2.941,24.65
T01585,summer,1,34,23.86,200,24,12.0,1.983,1.7,0.607,4.29,0.68,0.884,0.65,2.214,48.41
T01586,autumn,0,19,-0.43,200,17,8.5,1.9,0.95,1.214,4.064,0.488,0.461,1.019,1.967,51.6
T01587,spring,0,45,9.46,200,58,29.0,4.5,2.25,1.65,8.4,1.77,1.552,2.035,5.358,36.22
T01588,autumn,1,47,18.37,200,152,76.0,2.742,2.35,0.817,5.908,2.695,2.726,2.684,8.104,-37.17
T01589,summer,0,46,25.03,200,24,12.0,4.6,2.3,0.938,7.838,1.288,1.196,0.977,3.461,55.84
T01590,autumn,0,42,13.58,200,3,1.5,4.2,2.1,1.165,7.465,0.882,0.871,0.889,2.642,64.6
T01591,winter,0,33,7.97,200,44,22.0,3.3,1.65,1.317,6.267,1.144,1.023,1.444,3.611,42.38
T01592,summer,1,31,26.24,200,174,87.0,1.808,1.55,0.714,4.072,2.005,1.968,2.123,6.096,-49.7
T01593,summer,1,33,27.38,200,53,26.5,1.925,1.65,0.841,4.416,0.803,1.097,1.131,3.031,31.37
T01594,spring,1,23,10.01,200,97,48.5,1.342,1.15,0.816,3.308,0.897,1.018,1.286,3.201,3.23
T01595,winter,0,48,8.58,200,158,79.0,4.8,2.4,1.852,9.052,3.488,2.856,3.688,10.032,-10.83
T01596,summer,0,26,27.55,200,1,0.5,2.6,1.3,0.672,4.572,0.529,0.526,0.493,1.548,66.14
T01597,winter,0,45,5.99,200,34,17.0,4.5,2.25,1.988,8.738,1.41,1.282,1.997,4.689,46.33
T01598,spring,1,34,11.18,200,167,83.5,1.983,1.7,1.12,4.803,2.119,2.099,2.542,6.761,-40.76
T01599,summer,1,14,29.77,200,26,13.0,0.817,0.7,0.472,1.989,0.28,0.371,0.449,1.1,44.69
T01600,summer,0,35,28.07,200,58,29.0,3.5,1.75,1.039,6.289,1.377,1.208,1.36,3.945,37.27
T01601,spring,1,32,12.87,200,32,16.0,1.867,1.6,0.937,4.404,0.64,0.896,0.997,2.533,42.47
T01602,winter,0,31,1.77,200,25,12.5,3.1,1.55,1.819,6.469,0.878,0.814,1.609,3.301,48.97
T01603,summer,0,39,33.15,200,12,6.0,3.9,1.95,1.629,7.479,0.936,0.897,1.332,3.165,57.68
T01604,summer,1,37,15.6,200,147,73.5,2.158,1.85,0.865,4.873,2.06,2.1,2.245,6.404,-31.42
T01605,spring,1,37,12.06,200,153,76.5,2.158,1.85,1.148,5.157,2.134,2.155,2.551,6.84,-32.65
T01606,winter,0,19,8.74,200,2,1.0,1.9,0.95,0.726,3.576,0.393,0.389,0.565,1.347,62.33
T01607,summer,1,24,30.32,200,69,34.5,1.4,1.2,0.841,3.441,0.712,0.894,1.12,2.726,20.77
T01608,autumn,1,27,10.28,200,138,69.0,1.575,1.35,0.942,3.867,1.422,1.471,1.829,4.722,-22.1
T01609,winter,0,41,-1.45,200,22,11.0,4.1,2.05,2.72,8.87,1.121,1.045,2.343,4.509,49.16
T01610,spring,0,34,9.44,200,15,7.5,3.4,1.7,1.248,6.348,0.85,0.807,1.1,2.758,56.56
T01611,summer,0,36,29.94,200,48,24.0,3.6,1.8,1.229,6.629,1.296,1.152,1.416,3.864,41.71
T01612,summer,0,25,27.22,200,0,0.0,2.5,1.25,0.629,4.379,0.5,0.5,0.452,1.452,66.85
T01613,summer,1,21,18.85,200,100,50.0,1.225,1.05,0.343,2.618,0.84,0.945,0.853,2.638,-0.76
T01614,summer,1,23,20.55,200,91,45.5,1.342,1.15,0.291,2.782,0.851,0.983,0.8,2.634,5.32
T01615,winter,0,30,3.75,200,21,10.5,3.0,1.5,1.471,5.971,0.81,0.757,1.337,2.905,51.35
T01616,autumn,1,22,17.38,200,94,47.0,1.283,1.1,0.429,2.813,0.836,0.957,0.913,2.706,3.79
T01617,summer,1,25,26.8,200,138,69.0,1.458,1.25,0.606,3.314,1.317,1.362,1.467,4.147,-25.12
T01618,winter,1,43,-1.16,200,110,55.0,2.508,2.15,2.823,7.481,1.863,2.042,3.625,7.531,-0.67
T01619,spring,0,50,14.46,200,16,8.0,5.0,2.5,1.292,8.792,1.267,1.2,1.173,3.64,58.6
T01620,winter,0,29,0.09,200,6,3.0,2.9,1.45,1.817,6.167,0.638,0.624,1.425,2.687,56.44
T01621,winter,1,13,4.41,200,104,52.0,0.758,0.65,0.619,2.027,0.537,0.598,0.888,2.023,0.21
T01622,autumn,0,22,16.7,200,4,2.0,2.2,1.1,0.462,3.762,0.469,0.462,0.347,1.278,66.03
T01623,spring,1,10,12.85,200,34,17.0,0.583,0.5,0.293,1.377,0.2,0.285,0.318,0.803,41.66
T01624,summer,1,24,22.04,200,81,40.5,1.4,1.2,0.334,2.934,0.808,0.966,0.789,2.563,12.65
T01625,summer,0,26,19.01,200,18,9.0,2.6,1.3,0.416,4.316,0.676,0.637,0.409,1.722,60.1
T01626,winter,1,34,4.23,200,89,44.5,1.983,1.7,1.632,5.316,1.235,1.437,2.18,4.852,8.73
T01627,summer,1,41,30.51,200,38,19.0,2.392,2.05,1.456,5.898,0.82,1.21,1.529,3.558,39.67
T01628,summer,0,37,28.21,200,40,20.0,3.7,1.85,1.11,6.66,1.233,1.11,1.238,3.582,46.22
T01629,summer,1,38,25.54,200,119,59.5,2.217,1.9,0.817,4.934,1.761,1.89,1.926,5.577,-13.04
T01630,spring,1,41,16.31,200,73,36.5,2.392,2.05,0.895,5.336,1.271,1.568,1.523,4.363,18.24
T01631,winter,0,38,-5.64,200,8,4.0,3.8,1.9,2.9,8.6,0.861,0.836,2.31,4.008,53.4
T01632,winter,1,28,5.29,200,72,36.0,1.633,1.4,1.28,4.313,0.859,1.064,1.598,3.521,18.37
T01633,winter,0,33,6.23,200,34,17.0,3.3,1.65,1.441,6.391,1.034,0.941,1.45,3.425,46.42
T01634,summer,1,36,16.3,200,23,11.5,2.1,1.8,0.787,4.687,0.72,0.927,0.799,2.446,47.82
T01635,winter,1,28,6.99,200,90,45.0,1.633,1.4,1.177,4.21,1.027,1.19,1.662,3.879,7.87
T01636,winter,0,15,1.09,200,41,20.5,1.5,0.75,0.904,3.154,0.505,0.454,0.874,1.832,41.91
T01637,summer,1,56,21.98,200,94,47.0,3.267,2.8,0.772,6.839,2.128,2.436,2.053,6.617,3.24
T01638,autumn,0,26,11.14,200,0,0.0,2.6,1.3,0.859,4.759,0.52,0.52,0.644,1.684,64.62
T01639,winter,0,32,9.0,200,30,15.0,3.2,1.6,1.206,6.006,0.96,0.88,1.206,3.046,49.29
T01640,winter,0,29,7.22,200,42,21.0,2.9,1.45,1.204,5.554,0.986,0.885,1.291,3.162,43.07
